id	organism_name	kingdom	sequence_length	cleavage_site	validation_n	sp_type	transmembrane
O97101	Dictyostelium discoideum	Other	1000		2	0	False
P52488	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	636		2	0	False
Q9CRA5	Mus musculus	Metazoa	298		4	0	False
G5EEG7	Caenorhabditis elegans	Metazoa	510		2	0	False
P36168	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1195		4	0	False
Q8IVS8	Homo sapiens	Metazoa	523		1	0	False
F4JGZ1	Arabidopsis thaliana	Viridiplantae	1278		2	0	False
Q24174	Drosophila melanogaster	Metazoa	904		2	0	False
Q8IP99	Drosophila melanogaster	Metazoa	308		5	0	False
B4XT64	Oryza sativa subsp. japonica	Viridiplantae	582		3	0	False
O55003	Mus musculus	Metazoa	187		2	0	False
Q9FNC7	Arabidopsis thaliana	Viridiplantae	717		3	0	False
Q9HCC0	Homo sapiens	Metazoa	563		1	0	False
P53972	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	490		3	0	False
Q2T9J0	Homo sapiens	Metazoa	566		1	0	False
X5HYT8	Oryza sativa subsp. japonica	Viridiplantae	425		3	0	False
Q0IIM8	Homo sapiens	Metazoa	1120		1	0	False
Q9NWV8	Homo sapiens	Metazoa	329		1	0	False
Q22323	Caenorhabditis elegans	Metazoa	283		5	0	False
P32494	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	702		2	0	False
O22160	Arabidopsis thaliana	Viridiplantae	224		5	0	False
Q4PSU4	Arabidopsis thaliana	Viridiplantae	264		4	0	False
F6ZDS4	Mus musculus	Metazoa	2431		3	0	False
Q14019	Homo sapiens	Metazoa	142		1	0	False
Q9Y8G3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	596		4	0	False
G5EGF8	Caenorhabditis elegans	Metazoa	354		5	0	False
Q9Y2S7	Homo sapiens	Metazoa	368		1	0	False
P40506	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	365		3	0	False
Q8IUH5	Homo sapiens	Metazoa	632		2	0	False
Q04751	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	285		4	0	False
P36012	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	229		3	0	False
Q9VWW0	Drosophila melanogaster	Metazoa	359		2	0	False
Q96CJ1	Homo sapiens	Metazoa	260		1	0	False
Q9Y3D5	Homo sapiens	Metazoa	142		4	0	False
P0CT60	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	139		5	0	False
P34708	Caenorhabditis elegans	Metazoa	1110		3	0	False
Q8L7F7	Arabidopsis thaliana	Viridiplantae	739		5	0	False
Q06214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	492		5	0	False
Q5TA50	Homo sapiens	Metazoa	214		1	0	False
Q5RHB5	Danio rerio	Metazoa	1447		4	0	False
Q8NF91	Homo sapiens	Metazoa	8797		2	0	False
Q94920	Drosophila melanogaster	Metazoa	282		3	0	False
Q8BJ63	Mus musculus	Metazoa	490		4	0	False
P37382	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	297		5	0	False
F4KFT7	Arabidopsis thaliana	Viridiplantae	617		2	0	False
P25621	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	512		5	0	True
Q5ND04	Mus musculus	Metazoa	624		3	0	False
P03871	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	373		2	0	False
Q682U6	Arabidopsis thaliana	Viridiplantae	316		2	0	False
O64750	Arabidopsis thaliana	Viridiplantae	186		3	0	False
P50861	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	169		2	0	False
O95786	Homo sapiens	Metazoa	925		2	0	False
P30429	Caenorhabditis elegans	Metazoa	549		2	0	False
Q06639	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	885		2	0	False
Q86YD1	Homo sapiens	Metazoa	416		1	0	False
V6CLJ5	Caenorhabditis elegans	Metazoa	790		2	0	False
Q7LL22	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	462		4	0	False
P40326	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	108		5	0	False
Q9M0S5	Arabidopsis thaliana	Viridiplantae	764		4	0	False
Q7S7U5	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	71		5	0	True
Q9VR19	Drosophila melanogaster	Metazoa	379		5	0	False
A0A2P1GIW3	Catharanthus roseus	Viridiplantae	320		3	0	False
P38790	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	280		5	0	False
Q9W1C5	Drosophila melanogaster	Metazoa	2053		3	0	False
A0A8I3PDQ1	Canis lupus familiaris	Metazoa	834		4	0	False
P32389	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	672		3	0	False
O09171	Rattus norvegicus	Metazoa	407		2	0	False
Q15562	Homo sapiens	Metazoa	447		1	0	False
Q9W261	Drosophila melanogaster	Metazoa	775		3	0	False
P38279	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	296		3	0	True
Q8L785	Arabidopsis thaliana	Viridiplantae	1067		2	0	False
P43589	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	448		4	0	False
Q92794	Homo sapiens	Metazoa	2004		2	0	False
Q53FT3	Homo sapiens	Metazoa	197		1	0	False
Q1K730	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	447		5	0	False
O94516	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	364		5	0	False
Q504T8	Homo sapiens	Metazoa	468		1	0	False
Q24143	Drosophila melanogaster	Metazoa	723		2	0	False
A7UWX2	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	470		5	0	False
Q9CR61	Mus musculus	Metazoa	137		3	0	False
P48837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	541		4	0	False
P36606	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	468		4	0	True
P08050	Rattus norvegicus	Metazoa	382		3	0	True
Q7SD06	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	469		5	0	False
Q9LVS0	Arabidopsis thaliana	Viridiplantae	365		2	0	False
Q99JZ7	Mus musculus	Metazoa	461		3	0	False
Q96IY1	Homo sapiens	Metazoa	281		2	0	False
Q95U54	Drosophila melanogaster	Metazoa	959		3	0	False
Q1M168	Rattus norvegicus	Metazoa	372		3	0	False
Q925N4	Mus musculus	Metazoa	235		3	0	True
Q15697	Homo sapiens	Metazoa	407		1	0	False
P41812	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	875		3	0	False
Q0VD83	Homo sapiens	Metazoa	1097		1	0	False
Q9U226	Caenorhabditis elegans	Metazoa	342		4	0	False
Q06833	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	770		4	0	True
Q10412	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	403		5	0	False
P53196	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	417		3	0	False
Q9LYY2	Arabidopsis thaliana	Viridiplantae	112		5	0	True
O14275	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	931		4	0	False
Q94131	Caenorhabditis elegans	Metazoa	335		4	0	False
Q149M9	Homo sapiens	Metazoa	1564		1	0	False
Q9BT92	Homo sapiens	Metazoa	498		1	0	False
P03899	Mus musculus	Metazoa	115		4	0	True
O14338	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	891		5	0	False
Q96RS6	Homo sapiens	Metazoa	583		1	0	False
Q96PX9	Homo sapiens	Metazoa	1627		1	0	False
Q9P013	Homo sapiens	Metazoa	229		1	0	False
Q15751	Homo sapiens	Metazoa	4861		1	0	False
Q03200	Oryza sativa subsp. japonica	Viridiplantae	128		4	0	False
Q7S5W0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	103		5	0	False
Q9VXE6	Drosophila melanogaster	Metazoa	1883		4	0	False
Q14973	Homo sapiens	Metazoa	349		1	0	True
O42924	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	272		5	0	False
Q04839	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	188		4	0	False
Q59RW5	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	493		4	0	False
Q3E764	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	64		5	0	False
P35192	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	417		2	0	False
Q8W4B1	Arabidopsis thaliana	Viridiplantae	652		3	0	False
Q5TB80	Homo sapiens	Metazoa	1403		2	0	False
Q96RN5	Homo sapiens	Metazoa	788		1	0	False
Q9SW18	Arabidopsis thaliana	Viridiplantae	312		4	0	False
P13489	Homo sapiens	Metazoa	461		1	0	False
O48847	Arabidopsis thaliana	Viridiplantae	787		2	0	False
P78965	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	464		4	0	False
P42844	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	174		3	0	False
P53930	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	226		3	0	False
Q9H061	Homo sapiens	Metazoa	195		1	0	True
Q8IZU0	Homo sapiens	Metazoa	186		1	0	False
Q9UKK3	Homo sapiens	Metazoa	1724		2	0	False
Q1ZXQ0	Dictyostelium discoideum	Other	1019		5	0	False
O75179	Homo sapiens	Metazoa	2603		1	0	False
U9W802	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	307		5	0	False
Q8C551	Mus musculus	Metazoa	337		3	0	False
Q8IY42	Homo sapiens	Metazoa	314		4	0	False
P07390	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	489		5	0	False
P93830	Arabidopsis thaliana	Viridiplantae	229		2	0	False
E7FKV8	Oryzias latipes	Metazoa	2742		4	0	False
P30658	Mus musculus	Metazoa	519		3	0	False
P40466	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	484		2	0	False
Q9H649	Homo sapiens	Metazoa	340		1	0	False
P00813	Homo sapiens	Metazoa	363		2	0	False
Q61161	Mus musculus	Metazoa	821		4	0	False
Q06236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	168		4	0	True
Q7Z7K0	Homo sapiens	Metazoa	106		5	0	False
Q03213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	719		2	0	False
Q8LAP6	Arabidopsis thaliana	Viridiplantae	409		5	0	False
Q8IWS0	Homo sapiens	Metazoa	365		2	0	False
Q8NBS3	Homo sapiens	Metazoa	875		1	0	False
P29144	Homo sapiens	Metazoa	1249		1	0	False
Q969X6	Homo sapiens	Metazoa	686		1	0	False
Q86W50	Homo sapiens	Metazoa	562		1	0	False
Q17602	Caenorhabditis elegans	Metazoa	1390		5	0	False
P82913	Bos taurus	Metazoa	256		4	0	False
P27516	Dunaliella salina	Viridiplantae	172		5	0	False
F4JW79	Arabidopsis thaliana	Viridiplantae	1493		3	0	False
Q8UUZ1	Danio rerio	Metazoa	359		3	0	False
Q6IQ55	Homo sapiens	Metazoa	1244		1	0	False
Q9C0C6	Homo sapiens	Metazoa	399		1	0	False
Q9UJY1	Homo sapiens	Metazoa	196		1	0	False
Q3UHU5	Mus musculus	Metazoa	1945		4	0	False
Q3V0Q6	Mus musculus	Metazoa	470		4	0	False
P53968	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	678		3	0	False
Q9LY66	Arabidopsis thaliana	Viridiplantae	346		4	0	False
Q5XG73	Mus musculus	Metazoa	508		4	0	False
Q93008	Homo sapiens	Metazoa	2554		1	0	False
P04386	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	881		2	0	False
Q961D9	Drosophila melanogaster	Metazoa	1469		2	0	False
Q9VWF2	Drosophila melanogaster	Metazoa	2006		3	0	False
Q06091	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	175		4	0	False
J9VLJ9	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	154		4	0	False
O14894	Homo sapiens	Metazoa	197		2	0	True
Q8TCY5	Homo sapiens	Metazoa	172		2	0	True
P41814	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	478		4	0	False
P25992	Drosophila melanogaster	Metazoa	1002		3	0	False
O70343	Mus musculus	Metazoa	797		3	0	False
Q9NP94	Homo sapiens	Metazoa	309		1	0	True
Q9Y2M0	Homo sapiens	Metazoa	1017		1	0	False
O13297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	549		2	0	False
Q9H0U9	Homo sapiens	Metazoa	437		4	0	False
Q9W6G7	Xenopus laevis	Metazoa	463		5	0	False
O14734	Homo sapiens	Metazoa	319		1	0	False
Q0WVF8	Arabidopsis thaliana	Viridiplantae	1134		4	0	False
Q9HD34	Homo sapiens	Metazoa	91		1	0	False
Q9Z1N1	Rattus norvegicus	Metazoa	339		4	0	False
Q03063	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	452		3	0	False
Q9Y2D8	Homo sapiens	Metazoa	614		2	0	False
Q9QZN9	Rattus norvegicus	Metazoa	360		4	0	True
P25298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	677		3	0	False
Q96LW7	Homo sapiens	Metazoa	228		1	0	False
P50748	Homo sapiens	Metazoa	2209		2	0	False
Q9LHF5	Arabidopsis thaliana	Viridiplantae	602		3	0	False
P12853	Chlamydomonas reinhardtii	Viridiplantae	291		5	0	False
Q20977	Caenorhabditis elegans	Metazoa	567		3	0	False
Q12749	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1114		3	0	False
Q9HCU9	Homo sapiens	Metazoa	246		1	0	False
Q00202	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	678		4	0	False
Q9UTG8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	94		4	0	False
A8MUP2	Homo sapiens	Metazoa	240		1	0	False
Q969K3	Homo sapiens	Metazoa	372		1	0	False
Q9NSI6	Homo sapiens	Metazoa	2320		1	0	False
Q9H3J6	Homo sapiens	Metazoa	166		1	0	False
O04211	Arabidopsis thaliana	Viridiplantae	111		2	0	False
Q9V968	Drosophila melanogaster	Metazoa	218		4	0	False
Q8GZR2	Euglena gracilis	Other	496		5	0	False
Q9M0A5	Arabidopsis thaliana	Viridiplantae	249		4	0	False
Q56Y52	Arabidopsis thaliana	Viridiplantae	467		4	0	False
Q8WUX2	Homo sapiens	Metazoa	184		4	0	False
Q90257	Danio rerio	Metazoa	270		5	0	False
Q6DBN4	Arabidopsis thaliana	Viridiplantae	253		5	0	True
Q9NWZ8	Homo sapiens	Metazoa	242		2	0	False
Q96T23	Homo sapiens	Metazoa	1441		1	0	False
Q8CEG0	Mus musculus	Metazoa	392		3	0	True
Q61884	Mus musculus	Metazoa	491		4	0	False
Q8IZ52	Homo sapiens	Metazoa	775		1	0	True
Q02796	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	332		4	0	False
Q45EK2	Caenorhabditis elegans	Metazoa	360		2	0	False
Q02873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	248		5	0	False
Q15038	Homo sapiens	Metazoa	168		2	0	False
Q29455	Bos taurus	Metazoa	198		3	0	False
P00918	Homo sapiens	Metazoa	260		1	0	False
Q54HS3	Dictyostelium discoideum	Other	1486		2	0	False
Q10200	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	466		5	0	False
Q08921	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	799		4	0	False
Q8N7J2	Homo sapiens	Metazoa	671		1	0	False
Q12181	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	623		2	0	False
Q5T6F0	Homo sapiens	Metazoa	453		2	0	False
Q32SG5	Zea mays	Viridiplantae	616		5	0	False
O43716	Homo sapiens	Metazoa	136		1	0	False
Q06596	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294		3	0	False
Q40089	Ipomoea batatas	Viridiplantae	200		5	0	False
O43164	Homo sapiens	Metazoa	708		2	0	False
Q8R010	Mus musculus	Metazoa	320		2	0	False
P49756	Homo sapiens	Metazoa	843		1	0	False
P38848	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	579		5	0	False
Q2Z1W2	Gallus gallus	Metazoa	345		5	0	False
O55236	Mus musculus	Metazoa	597		2	0	False
Q6RFH5	Homo sapiens	Metazoa	385		1	0	False
Q96S44	Homo sapiens	Metazoa	253		1	0	False
Q9P0K7	Homo sapiens	Metazoa	980		1	0	False
Q0D2I5	Homo sapiens	Metazoa	559		2	0	False
O74317	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	113		5	0	False
Q9CAH5	Arabidopsis thaliana	Viridiplantae	320		5	0	True
O74880	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	360		4	0	False
P39996	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	337		5	0	False
Q7TNS8	Mus musculus	Metazoa	369		3	0	False
Q05583	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	330		3	0	False
Q8IY92	Homo sapiens	Metazoa	1834		1	0	False
F4IAT8	Arabidopsis thaliana	Viridiplantae	326		2	0	False
Q1MTQ7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	633		4	0	False
F4JS25	Arabidopsis thaliana	Viridiplantae	1052		4	0	False
P14064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	554		2	0	False
Q9M9V7	Arabidopsis thaliana	Viridiplantae	587		5	0	True
Q04431	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	385		3	0	False
P40532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	138		5	0	True
Q8TEX9	Homo sapiens	Metazoa	1081		1	0	False
Q8K2C6	Mus musculus	Metazoa	310		1	0	False
Q9P267	Homo sapiens	Metazoa	1494		1	0	False
P40530	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394		2	0	False
P0DKH5	Arabidopsis thaliana	Viridiplantae	1288		2	0	False
P42925	Mus musculus	Metazoa	194		5	0	True
Q8H157	Arabidopsis thaliana	Viridiplantae	585		3	0	True
Q9C7A2	Arabidopsis thaliana	Viridiplantae	590		5	0	False
Q0WR66	Arabidopsis thaliana	Viridiplantae	793		4	0	False
Q9ZV24	Arabidopsis thaliana	Viridiplantae	148		4	0	True
Q9Y7R3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	742		4	0	False
Q9NX58	Homo sapiens	Metazoa	379		1	0	False
P25284	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	375		5	0	False
P40057	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	128		5	0	False
O80669	Arabidopsis thaliana	Viridiplantae	141		4	0	False
Q6ZMT4	Homo sapiens	Metazoa	941		1	0	False
P37840	Homo sapiens	Metazoa	140		2	0	False
F4I8I0	Arabidopsis thaliana	Viridiplantae	596		4	0	True
A8MQL1	Arabidopsis thaliana	Viridiplantae	1082		3	0	False
Q9FVQ1	Arabidopsis thaliana	Viridiplantae	557		3	0	False
Q9BPY3	Homo sapiens	Metazoa	351		4	0	False
P11914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	482		2	0	False
O59858	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	158		4	0	False
O43819	Homo sapiens	Metazoa	266		1	0	True
O09053	Mus musculus	Metazoa	1401		2	0	False
Q9H816	Homo sapiens	Metazoa	532		2	0	False
Q3KPK4	Xenopus laevis	Metazoa	280		5	0	False
P37107	Arabidopsis thaliana	Viridiplantae	564		3	0	False
Q9Y315	Homo sapiens	Metazoa	318		1	0	False
Q99816	Homo sapiens	Metazoa	390		2	0	False
P43557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	207		5	0	False
O14161	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	293		5	0	False
Q1HTZ9	Aquarana catesbeiana	Metazoa	198		5	0	False
Q09902	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	85		5	0	False
Q01804	Homo sapiens	Metazoa	1114		1	0	False
P53331	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	553		3	0	False
Q501F9	Arabidopsis thaliana	Viridiplantae	370		3	0	False
Q9LR78	Arabidopsis thaliana	Viridiplantae	793		2	0	False
Q09826	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	408		4	0	False
Q8MLV1	Drosophila melanogaster	Metazoa	741		4	0	False
P34260	Caenorhabditis elegans	Metazoa	603		4	0	False
P16455	Homo sapiens	Metazoa	207		1	0	False
Q9H3M7	Homo sapiens	Metazoa	391		1	0	False
Q8IXW5	Homo sapiens	Metazoa	612		1	0	False
P83456	Gadus morhua	Metazoa	477		5	0	False
Q3UNW5	Mus musculus	Metazoa	479		2	0	False
O75934	Homo sapiens	Metazoa	225		1	0	False
Q7XJJ7	Arabidopsis thaliana	Viridiplantae	607		3	0	False
Q95Y80	Caenorhabditis elegans	Metazoa	853		3	0	False
P34072	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	584		4	0	False
P40850	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	830		2	0	False
Q8K3G9	Mus musculus	Metazoa	662		4	0	False
F4KCE9	Arabidopsis thaliana	Viridiplantae	598		4	0	False
Q86YC2	Homo sapiens	Metazoa	1186		1	0	False
Q8W4F1	Arabidopsis thaliana	Viridiplantae	284		5	0	False
Q8VYB9	Arabidopsis thaliana	Viridiplantae	840		3	0	False
Q96E29	Homo sapiens	Metazoa	417		1	0	False
Q9Y2I1	Homo sapiens	Metazoa	1504		2	0	False
Q6ID70	Arabidopsis thaliana	Viridiplantae	150		3	0	False
P34122	Dictyostelium discoideum	Other	287		2	0	False
Q02770	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	301		4	0	False
P32388	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	137		5	0	False
Q23529	Caenorhabditis elegans	Metazoa	777		4	0	False
Q60680	Mus musculus	Metazoa	745		3	0	False
P34418	Caenorhabditis elegans	Metazoa	943		5	0	False
Q8NCE0	Homo sapiens	Metazoa	465		1	0	False
Q9T0H9	Arabidopsis thaliana	Viridiplantae	359		5	0	False
Q5W7F1	Danio rerio	Metazoa	743		3	0	True
P32336	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	851		4	0	False
Q9STY0	Arabidopsis thaliana	Viridiplantae	227		2	0	True
Q9C5W3	Arabidopsis thaliana	Viridiplantae	985		4	0	False
Q9VN60	Drosophila melanogaster	Metazoa	278		3	0	False
Q96RK1	Homo sapiens	Metazoa	184		4	0	False
Q9FFD8	Arabidopsis thaliana	Viridiplantae	104		5	0	False
P54797	Mus musculus	Metazoa	276		5	0	False
O60683	Homo sapiens	Metazoa	326		1	0	True
Q9UGM6	Homo sapiens	Metazoa	360		1	0	False
A0A1P8BH03	Arabidopsis thaliana	Viridiplantae	404		5	0	False
Q5M775	Homo sapiens	Metazoa	1068		1	0	False
Q9Y4X0	Homo sapiens	Metazoa	333		1	0	False
Q9Y6I9	Homo sapiens	Metazoa	313		1	0	True
Q07897	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291		5	0	False
Q8CEG8	Mus musculus	Metazoa	438		2	0	False
A0A7U2QXY7	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	Fungi	438		5	0	False
Q06139	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	101		5	0	False
P04117	Mus musculus	Metazoa	132		3	0	False
Q19969	Caenorhabditis elegans	Metazoa	514		3	0	False
Q9XF57	Arabidopsis thaliana	Viridiplantae	317		1	0	False
P10069	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	432		4	0	False
O13838	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	371		4	0	False
P47167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239		3	0	False
Q10L01	Oryza sativa subsp. japonica	Viridiplantae	382		3	0	True
P82669	Bos taurus	Metazoa	173		5	0	False
Q8NEZ4	Homo sapiens	Metazoa	4911		1	0	False
Q03671	Candida parapsilosis	Fungi	246		5	0	True
O94258	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	978		5	0	False
Q8VIE6	Mus musculus	Metazoa	465		3	0	True
Q96VH4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	193		5	0	False
Q15067	Homo sapiens	Metazoa	660		1	0	False
Q05498	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	189		3	0	False
P28328	Homo sapiens	Metazoa	305		1	0	True
Q12262	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	181		3	0	False
S0DPL8	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831)	Fungi	389		5	0	False
Q10178	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1205		4	0	False
P0DH95	Arabidopsis thaliana	Viridiplantae	149		5	0	False
Q9Y6D6	Homo sapiens	Metazoa	1849		2	0	False
P53102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	219		4	0	False
Q15311	Homo sapiens	Metazoa	655		1	0	False
P00560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	416		2	0	False
O43508	Homo sapiens	Metazoa	249		2	0	True
P70445	Mus musculus	Metazoa	120		3	0	False
P68036	Homo sapiens	Metazoa	154		1	0	False
P53846	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	162		2	0	False
Q9SAA2	Arabidopsis thaliana	Viridiplantae	271		5	0	False
Q9NYT0	Homo sapiens	Metazoa	353		5	0	False
Q03455	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	724		4	0	True
Q05543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	409		4	0	False
Q55GJ6	Dictyostelium discoideum	Other	214		3	0	False
Q8R0S1	Mus musculus	Metazoa	413		3	0	False
Q92374	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	104		5	0	False
O75387	Homo sapiens	Metazoa	559		1	0	True
Q03067	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	99		3	0	False
Q9ZVZ9	Arabidopsis thaliana	Viridiplantae	199		5	0	False
Q03718	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	556		4	0	False
P38302	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140		4	0	False
P46669	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	326		3	0	False
Q7Z3D4	Homo sapiens	Metazoa	306		1	0	False
P23490	Homo sapiens	Metazoa	312		1	0	False
D3ZNV2	Rattus norvegicus	Metazoa	288		5	0	False
O88286	Mus musculus	Metazoa	1684		2	0	False
Q9UBH6	Homo sapiens	Metazoa	696		1	0	False
